caso,ia,linguagem,ferramenta,total,high,medium,low,arquivo
caso01_auth,gemini,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_gemini_javascript.json
caso01_auth,gemini,python,semgrep,1,0,1,0,reports/sast/semgrep/caso01_auth_gemini_python.json
caso01_auth,gemini,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso01_auth_gemini_typescript.json
caso02_products,chatgpt,java,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_chatgpt_java.json
caso02_products,chatgpt,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_chatgpt_javascript.json
caso02_products,chatgpt,python,semgrep,1,0,1,0,reports/sast/semgrep/caso02_products_chatgpt_python.json
caso02_products,chatgpt,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_chatgpt_typescript.json
caso02_products,claude,java,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_claude_java.json
caso02_products,claude,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_claude_javascript.json
caso02_products,claude,python,semgrep,1,0,1,0,reports/sast/semgrep/caso02_products_claude_python.json
caso02_products,claude,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_claude_typescript.json
caso02_products,gemini,java,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_gemini_java.json
caso02_products,gemini,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_gemini_javascript.json
caso02_products,gemini,python,semgrep,1,0,1,0,reports/sast/semgrep/caso02_products_gemini_python.json
caso02_products,gemini,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso02_products_gemini_typescript.json
caso03_upload,chatgpt,java,semgrep,0,0,0,0,reports/sast/semgrep/caso03_upload_chatgpt_java.json
caso03_upload,chatgpt,javascript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_chatgpt_javascript.json
caso03_upload,chatgpt,python,semgrep,1,0,1,0,reports/sast/semgrep/caso03_upload_chatgpt_python.json
caso03_upload,chatgpt,typescript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_chatgpt_typescript.json
caso03_upload,claude,java,semgrep,0,0,0,0,reports/sast/semgrep/caso03_upload_claude_java.json
caso03_upload,claude,javascript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_claude_javascript.json
caso03_upload,claude,python,semgrep,1,0,1,0,reports/sast/semgrep/caso03_upload_claude_python.json
caso03_upload,claude,typescript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_claude_typescript.json
caso03_upload,gemini,java,semgrep,1,1,0,0,reports/sast/semgrep/caso03_upload_gemini_java.json
caso03_upload,gemini,javascript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_gemini_javascript.json
caso03_upload,gemini,python,semgrep,0,0,0,0,reports/sast/semgrep/caso03_upload_gemini_python.json
caso03_upload,gemini,typescript,semgrep,2,0,2,0,reports/sast/semgrep/caso03_upload_gemini_typescript.json
caso04_comments,chatgpt,java,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_chatgpt_java.json
caso04_comments,chatgpt,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_chatgpt_javascript.json
caso04_comments,chatgpt,python,semgrep,1,0,1,0,reports/sast/semgrep/caso04_comments_chatgpt_python.json
caso04_comments,chatgpt,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_chatgpt_typescript.json
caso04_comments,claude,java,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_claude_java.json
caso04_comments,claude,javascript,semgrep,2,0,2,0,reports/sast/semgrep/caso04_comments_claude_javascript.json
caso04_comments,claude,python,semgrep,1,0,1,0,reports/sast/semgrep/caso04_comments_claude_python.json
caso04_comments,claude,typescript,semgrep,1,0,1,0,reports/sast/semgrep/caso04_comments_claude_typescript.json
caso04_comments,gemini,java,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_gemini_java.json
caso04_comments,gemini,javascript,semgrep,0,0,0,0,reports/sast/semgrep/caso04_comments_gemini_javascript.json
caso04_comments,gemini,python,semgrep,1,0,1,0,reports/sast/semgrep/caso04_comments_gemini_python.json
caso04_comments,gemini,typescript,semgrep,1,0,1,0,reports/sast/semgrep/caso04_comments_gemini_typescript.json
caso05_session,chatgpt,java,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_chatgpt_java.json
caso05_session,chatgpt,javascript,semgrep,4,0,4,0,reports/sast/semgrep/caso05_session_chatgpt_javascript.json
caso05_session,chatgpt,python,semgrep,1,0,1,0,reports/sast/semgrep/caso05_session_chatgpt_python.json
caso05_session,chatgpt,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_chatgpt_typescript.json
caso05_session,claude,java,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_claude_java.json
caso05_session,claude,javascript,semgrep,5,0,5,0,reports/sast/semgrep/caso05_session_claude_javascript.json
caso05_session,claude,python,semgrep,1,0,1,0,reports/sast/semgrep/caso05_session_claude_python.json
caso05_session,claude,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_claude_typescript.json
caso05_session,gemini,java,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_gemini_java.json
caso05_session,gemini,javascript,semgrep,5,0,5,0,reports/sast/semgrep/caso05_session_gemini_javascript.json
caso05_session,gemini,python,semgrep,1,0,1,0,reports/sast/semgrep/caso05_session_gemini_python.json
caso05_session,gemini,typescript,semgrep,0,0,0,0,reports/sast/semgrep/caso05_session_gemini_typescript.json
caso01_auth,chatgpt,javascript,eslint,0,0,0,0,reports/sast/eslint/caso01_auth_chatgpt_javascript.json
caso01_auth,chatgpt,typescript,eslint,5,5,0,0,reports/sast/eslint/caso01_auth_chatgpt_typescript.json
caso01_auth,claude,javascript,eslint,0,0,0,0,reports/sast/eslint/caso01_auth_claude_javascript.json
caso01_auth,claude,typescript,eslint,1,1,0,0,reports/sast/eslint/caso01_auth_claude_typescript.json
caso01_auth,gemini,javascript,eslint,0,0,0,0,reports/sast/eslint/caso01_auth_gemini_javascript.json
caso01_auth,gemini,typescript,eslint,2,2,0,0,reports/sast/eslint/caso01_auth_gemini_typescript.json
caso02_products,chatgpt,javascript,eslint,0,0,0,0,reports/sast/eslint/caso02_products_chatgpt_javascript.json
caso02_products,chatgpt,typescript,eslint,1,1,0,0,reports/sast/eslint/caso02_products_chatgpt_typescript.json
caso02_products,claude,javascript,eslint,0,0,0,0,reports/sast/eslint/caso02_products_claude_javascript.json
caso02_products,claude,typescript,eslint,0,0,0,0,reports/sast/eslint/caso02_products_claude_typescript.json
caso02_products,gemini,javascript,eslint,0,0,0,0,reports/sast/eslint/caso02_products_gemini_javascript.json
caso02_products,gemini,typescript,eslint,2,2,0,0,reports/sast/eslint/caso02_products_gemini_typescript.json
caso03_upload,chatgpt,javascript,eslint,1,1,0,0,reports/sast/eslint/caso03_upload_chatgpt_javascript.json
caso03_upload,chatgpt,typescript,eslint,0,0,0,0,reports/sast/eslint/caso03_upload_chatgpt_typescript.json
caso03_upload,claude,javascript,eslint,1,1,0,0,reports/sast/eslint/caso03_upload_claude_javascript.json
caso03_upload,claude,typescript,eslint,1,0,1,0,reports/sast/eslint/caso03_upload_claude_typescript.json
caso03_upload,gemini,javascript,eslint,1,1,0,0,reports/sast/eslint/caso03_upload_gemini_javascript.json
caso03_upload,gemini,typescript,eslint,1,0,1,0,reports/sast/eslint/caso03_upload_gemini_typescript.json
caso04_comments,chatgpt,javascript,eslint,0,0,0,0,reports/sast/eslint/caso04_comments_chatgpt_javascript.json
caso04_comments,chatgpt,typescript,eslint,1,1,0,0,reports/sast/eslint/caso04_comments_chatgpt_typescript.json
caso04_comments,claude,javascript,eslint,0,0,0,0,reports/sast/eslint/caso04_comments_claude_javascript.json
caso04_comments,claude,typescript,eslint,0,0,0,0,reports/sast/eslint/caso04_comments_claude_typescript.json
caso04_comments,gemini,javascript,eslint,0,0,0,0,reports/sast/eslint/caso04_comments_gemini_javascript.json
caso04_comments,gemini,typescript,eslint,4,4,0,0,reports/sast/eslint/caso04_comments_gemini_typescript.json
caso05_session,chatgpt,javascript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_chatgpt_javascript.json
caso05_session,chatgpt,typescript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_chatgpt_typescript.json
caso05_session,claude,javascript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_claude_javascript.json
caso05_session,claude,typescript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_claude_typescript.json
caso05_session,gemini,javascript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_gemini_javascript.json
caso05_session,gemini,typescript,eslint,0,0,0,0,reports/sast/eslint/caso05_session_gemini_typescript.json
caso01_auth,chatgpt,java,spotbugs,2,0,0,2,reports/sast/spotbugs/caso01_auth_chatgpt_java.xml
caso01_auth,claude,java,spotbugs,2,0,0,2,reports/sast/spotbugs/caso01_auth_claude_java.xml
caso01_auth,gemini,java,spotbugs,2,0,0,2,reports/sast/spotbugs/caso01_auth_gemini_java.xml
caso02_products,chatgpt,java,spotbugs,2,0,0,2,reports/sast/spotbugs/caso02_products_chatgpt_java.xml
caso02_products,claude,java,spotbugs,4,0,2,2,reports/sast/spotbugs/caso02_products_claude_java.xml
caso02_products,gemini,java,spotbugs,4,0,2,2,reports/sast/spotbugs/caso02_products_gemini_java.xml
caso03_upload,chatgpt,java,spotbugs,5,0,2,3,reports/sast/spotbugs/caso03_upload_chatgpt_java.xml
caso03_upload,claude,java,spotbugs,5,0,2,3,reports/sast/spotbugs/caso03_upload_claude_java.xml
caso03_upload,gemini,java,spotbugs,4,0,1,3,reports/sast/spotbugs/caso03_upload_gemini_java.xml
caso04_comments,chatgpt,java,spotbugs,3,0,0,3,reports/sast/spotbugs/caso04_comments_chatgpt_java.xml
caso04_comments,claude,java,spotbugs,3,0,0,3,reports/sast/spotbugs/caso04_comments_claude_java.xml
caso04_comments,gemini,java,spotbugs,3,0,0,3,reports/sast/spotbugs/caso04_comments_gemini_java.xml
caso05_session,chatgpt,java,spotbugs,4,0,0,4,reports/sast/spotbugs/caso05_session_chatgpt_java.xml
caso05_session,claude,java,spotbugs,4,0,0,4,reports/sast/spotbugs/caso05_session_claude_java.xml
caso05_session,gemini,java,spotbugs,6,1,1,4,reports/sast/spotbugs/caso05_session_gemini_java.xml
